team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TBL,2022,TBL,TBL,Team Level,other,23,0.62,0.51,0.54,3252,50.9,14.53,3.48,8.43,1.92,27.05,14.6,13.46,14.53,13.46,52,18,16,86,13,4,0,11,2,24,16,39,57,4,8,49,14,6,7,28,21,21,1.24,2.6,10.69,2,1,10,86,70,70,4,1.07,1.05,1.05,14.55,14.55,13.53,43.59,9.03,2.98,8.11,1.43,22.19,15.27,8.78,9.03,8.78,43,16,23,82,3,5,0,11,4,19,17,40,56,6,12,48,12,7,11,26,23,10,1.01,2.71,5.3,0,1,2,82,59,59,4,0.84,1.26,1.26,8.61,8.61,8.43
TBL,2022,TBL,TBL,Team Level,all,23,0.52,0.51,0.51,83771,730.22,84.7,52.63,160.4,24.38,398.59,283.31,80.74,85.45,81.4,712,292,330,1334,80,73,9,173,23,319,336,632,924,99,225,640,603,243,228,665,246,93,20.43,29.87,34.4,21,24,35,1350.2,1004,1013.17,100,11.87,15.21,15.21,81.36,81.88,79.65,697.24,77.24,49.42,154.93,22.69,377.42,273.3,73.97,77.42,74.15,704,251,350,1305,71,64,7,138,26,278,378,633,884,103,241,660,686,233,184,642,233,80,19.04,28.08,30.12,18,26,27,1305.69,955,956.41,82,11.04,15,15,73.28,73.5,71.89
TBL,2022,TBL,TBL,Team Level,5on5,23,0.52,0.51,0.52,65147,542.72,53.17,37.77,125.9,18.13,293.26,217.77,50.76,53.91,51.42,527,219,262,1008,47,61,9,139,18,222,259,480,699,82,191,466,539,187,188,512,181,53,15.95,21.92,15.3,16,15,16,1024.2,746,755.17,91,7.85,12.55,12.55,48.46,48.99,48.12,513.58,49.14,34.83,119.57,16.57,276.66,205.23,47.43,49.32,47.61,517,185,255,957,46,48,5,110,15,191,292,471,656,88,211,479,630,178,147,483,170,49,14.28,20.8,14.06,12,21,13,957.69,702,703.41,75,7.22,10.99,10.99,45.38,45.59,45.01
TBL,2022,TBL,TBL,Team Level,4on5,23,0.09,0.11,0.13,7605,18.54,1.73,0.92,2.66,0.51,5.32,12.85,1.67,1.73,1.67,19,5,3,27,0,1,0,3,0,4,16,19,24,2,4,56,31,31,4,17,6,1,0.59,0.84,0.31,0,0,0,27,24,24,3,0.22,0.31,0.31,1.64,1.64,1.62,118.14,17.29,10.56,24.25,4.07,71.26,36.56,16,17.29,16,122,42,66,230,18,11,2,15,5,61,54,104,146,5,10,69,17,12,23,112,32,20,3.22,3.64,10.43,4,3,11,230,164,164,2,2.75,2.76,2.76,17.28,17.28,16.45
TBL,2022,TBL,TBL,Team Level,5on4,23,0.9,0.86,0.85,7767,118.06,15.28,10.46,23.42,3.81,72.96,38.08,14.85,15.28,14.85,114,50,49,213,20,7,0,20,3,69,45,94,144,11,22,69,19,19,29,108,38,18,2.66,4.5,8.12,3,8,9,213,164,164,2,2.73,1.3,1.3,16.71,16.71,16.38,21.93,1.78,1.05,2.99,0.62,7.32,16.24,1.76,1.78,1.76,22,8,6,36,4,0,0,2,2,7,15,18,26,4,8,64,27,36,3,21,8,1,0.53,0.92,0.33,2,1,1,36,30,30,1,0.24,0,0,2.02,2.02,2
MIN,2022,MIN,MIN,Team Level,other,22,0.62,0.58,0.57,3614,52.39,13.26,3.71,9.28,1.71,25.43,16.63,10.27,13.26,10.27,53,17,18,88,9,8,3,7,1,29,16,44,61,2,4,34,14,4,11,31,21,18,1.14,2.79,9.32,0,3,6,88,70,70,5,1.12,3.18,3.18,11.19,11.19,9.32,38.98,8.23,2.85,7.7,1.39,19.31,12.51,7.65,8.23,7.65,40,12,13,65,8,6,1,4,0,15,19,32,44,6,12,43,11,5,14,25,15,12,0.9,2.1,5.22,0,2,6,65,52,52,8,0.85,1.17,1.17,7.91,7.91,7.43
MIN,2022,MIN,MIN,Team Level,all,22,0.52,0.51,0.51,80343,681.92,68.36,47.92,155.11,22.12,372.94,271.54,63.29,68.21,63.17,677,261,316,1254,66,65,10,130,20,318,339,611,872,104,242,579,478,133,135,659,208,71,18.5,25.55,24.31,10,34,22,1252.58,938,936.85,76,10.78,13.52,13.52,65.62,65.54,62.5,645.81,62.02,44.27,149.35,21.41,360.02,258.94,59.82,62.56,60.38,647,249,318,1214,64,47,6,120,30,282,353,583,832,104,243,625,469,130,172,659,175,62,18.34,21.25,22.42,22,21,21,1223.09,896,905.05,108,9.85,9.75,9.81,62.05,62.75,61.29
MIN,2022,MIN,MIN,Team Level,5on5,22,0.5,0.5,0.5,63257,506.74,41.1,33.26,121.22,16.23,278.05,209.15,39.79,40.95,39.67,493,206,256,955,37,40,6,102,16,233,271,456,662,97,228,423,436,118,112,518,146,35,14.08,17.86,9.15,8,21,8,953.58,699,697.85,67,6.85,7.97,7.97,39.98,39.9,39.24,502.69,40.51,32.02,121.55,16.67,280.12,210.12,39.32,41.05,39.87,500,201,244,945,46,32,5,95,24,216,288,454,655,89,213,467,433,103,129,537,130,34,15.28,15.44,9.78,22,17,7,954.09,701,710.05,87,6.6,7.37,7.83,39.28,39.98,39.4
MIN,2022,MIN,MIN,Team Level,4on5,22,0.14,0.12,0.16,7066,19.37,1.88,0.93,2.88,0.57,5.78,12.96,1.85,1.88,1.85,22,3,0,25,3,1,0,2,1,4,14,19,22,2,4,62,21,9,2,16,6,3,0.34,0.79,0.75,0,1,2,25,25,25,2,0.22,0.18,0.18,1.92,1.92,1.91,94.58,11.42,8.81,18.91,3.1,58.01,30.75,11.02,11.42,11.02,95,36,57,188,10,9,0,20,5,48,39,85,121,5,10,71,5,5,20,93,26,12,2.01,3.3,6.11,0,2,8,188,131,131,4,2.26,1.21,0.81,12.86,12.86,12.49
MIN,2022,MIN,MIN,Team Level,5on4,22,0.87,0.92,0.92,6406,103.42,12.14,10.02,21.74,3.62,63.69,32.8,11.38,12.14,11.38,109,35,42,186,17,16,1,19,2,52,38,92,127,3,6,60,7,2,10,94,35,15,2.94,4.11,5.09,2,9,6,186,144,144,2,2.58,2.18,2.18,12.54,12.54,12.03,9.56,1.86,0.58,1.19,0.25,2.58,5.55,1.84,1.86,1.84,12,0,4,16,0,0,0,1,1,3,7,12,12,4,8,44,20,17,9,4,4,4,0.14,0.41,1.31,0,0,0,16,12,12,9,0.13,0,0,2,2,1.97
